project_scope,language,source_layer,code_family,code,label_en,keyword,keyword_translation_or_note,current_pipeline_status,reviewer,review_decision,suggested_replacement,notes
cross_language_tourism_side_project,English,Google reviews,friction,cleanliness_comfort,Cleanliness / Comfort,bathrooms were dirty,Existing English codebook keyword,currently_used_for_english_friction,,,,
cross_language_tourism_side_project,English,Google reviews,friction,cleanliness_comfort,Cleanliness / Comfort,restrooms were dirty,Existing English codebook keyword,currently_used_for_english_friction,,,,
cross_language_tourism_side_project,English,Google reviews,friction,cleanliness_comfort,Cleanliness / Comfort,bathroom was dirty,Existing English codebook keyword,currently_used_for_english_friction,,,,
cross_language_tourism_side_project,English,Google reviews,friction,opening_hours_availability,Opening Hours / Availability,was closed,Existing English codebook keyword,currently_used_for_english_friction,,,,
cross_language_tourism_side_project,English,Google reviews,friction,opening_hours_availability,Opening Hours / Availability,were closed,Existing English codebook keyword,currently_used_for_english_friction,,,,
cross_language_tourism_side_project,English,Google reviews,friction,opening_hours_availability,Opening Hours / Availability,it was closed,Existing English codebook keyword,currently_used_for_english_friction,,,,
cross_language_tourism_side_project,English,Google reviews,friction,opening_hours_availability,Opening Hours / Availability,already closed,Existing English codebook keyword,currently_used_for_english_friction,,,,
cross_language_tourism_side_project,English,Google reviews,friction,opening_hours_availability,Opening Hours / Availability,shops were closed,Existing English codebook keyword,currently_used_for_english_friction,,,,
cross_language_tourism_side_project,English,Google reviews,friction,opening_hours_availability,Opening Hours / Availability,closed when we arrived,Existing English codebook keyword,currently_used_for_english_friction,,,,
cross_language_tourism_side_project,English,Google reviews,friction,opening_hours_availability,Opening Hours / Availability,closed when we got there,Existing English codebook keyword,currently_used_for_english_friction,,,,
cross_language_tourism_side_project,English,Google reviews,friction,opening_hours_availability,Opening Hours / Availability,closed during,Existing English codebook keyword,currently_used_for_english_friction,,,,
cross_language_tourism_side_project,English,Google reviews,friction,opening_hours_availability,Opening Hours / Availability,check hours,Existing English codebook keyword,currently_used_for_english_friction,,,,
cross_language_tourism_side_project,English,Google reviews,friction,opening_hours_availability,Opening Hours / Availability,verify hours,Existing English codebook keyword,currently_used_for_english_friction,,,,
